date,daily_revenue_inr,total_transactions,peak_hour,top_category,active_carts
2026-07-01,42500,185,18:00,Dairy,24
2026-07-02,39800,162,19:00,Beverages,21
2026-07-03,45100,198,17:00,Produce,28
2026-07-04,52000,230,18:00,Grains,35
2026-07-05,61200,275,19:00,Dairy,42
2026-07-06,38900,155,18:00,Snacks,19
2026-07-07,41000,170,17:00,Pantry,22
2026-07-08,44300,189,18:00,Dairy,26
2026-07-09,47800,205,19:00,Beverages,30
2026-07-10,54100,240,18:00,Produce,38
2026-07-11,68900,310,20:00,Dairy,49
2026-07-12,72400,335,19:00,Grains,53
2026-07-13,43200,180,18:00,Bakery,23
2026-07-14,46500,195,17:00,Dairy,27
