product_id,product_name,brand,category,price,calories,is_organic,discount_percent,stock_quantity,image_url
P001,Coca-Cola 500ml,Coca-Cola,Beverages,45,210,0,0,120,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=400
P002,Organic Fresh Milk 1L,Amul,Dairy,65,150,1,5,45,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400
P003,Whole Wheat Bread 400g,Britannia,Bakery,40,240,0,0,30,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400
P004,Farm Fresh Eggs (6 Pack),Eggoz,Dairy,55,420,1,0,50,https://images.unsplash.com/photo-1516448620398-c5f44bf9f441?w=400
P005,Amul Pasteurised Butter 100g,Amul,Dairy,58,717,0,10,25,https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?w=400
P006,Cheddar Cheese Slices 200g,Mother Dairy,Dairy,130,400,0,15,18,https://images.unsplash.com/photo-1618160702438-9b02ab6515c9?w=400
P007,Mixed Fruit Jam 500g,Kissan,Pantry,140,280,0,0,40,https://images.unsplash.com/photo-1590080875515-8a3a8dc5735e?w=400
P008,Dark Chocolate Bar 100g,Amul,Snacks,90,540,1,5,60,https://images.unsplash.com/photo-1511381939415-e44015466834?w=400
P009,Green Apples 1kg,FreshField,Produce,180,95,1,10,15,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=400
P010,Basmati Rice 5kg,India Gate,Grains,450,1300,0,12,85,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400
P011,Extra Virgin Olive Oil 500ml,Borges,Pantry,650,4000,1,8,22,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400
P012,Greek Yogurt 200g,Epigamia,Dairy,75,120,1,0,35,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=400
